a,w ,t
-2,-2,0.497
-2,-1.9,0.497
-2,-1.8,0.497
-2,-1.7,0.497
-2,-1.6,0.497
-2,-1.5,0.497
-2,-1.4,0.497
-2,-1.3,0.497
-2,-1.2,0.497
-2,-1.1,0.497
-2,-1,0.497
-2,-0.9,0.497
-2,-0.8,0.497
-2,-0.7,0.497
-2,-0.6,0.497
-2,-0.5,0.497
-2,-0.4,0.497
-2,-0.3,0.497
-2,-0.2,0.497
-2,-0.1,0.497
-2,0,0.497
-2,0.1,0.497
-2,0.2,0.496
-2,0.3,0.496
-2,0.4,0.496
-2,0.5,0.496
-2,0.6,0.496
-2,0.7,0.496
-2,0.8,0.495
-2,0.9,0.495
-2,1,0.495
-2,1.1,0.494
-2,1.2,0.493
-2,1.3,0.492
-2,1.4,0.49
-2,1.5,0.486
-2,1.6,0.474
-2,1.7,0.447
-2,1.8,0.422
-2,1.9,0.399
-2,2,0.378
-1.9,-2,0.523
-1.9,-1.9,0.523
-1.9,-1.8,0.523
-1.9,-1.7,0.523
-1.9,-1.6,0.523
-1.9,-1.5,0.523
-1.9,-1.4,0.523
-1.9,-1.3,0.523
-1.9,-1.2,0.523
-1.9,-1.1,0.523
-1.9,-1,0.523
-1.9,-0.9,0.523
-1.9,-0.8,0.523
-1.9,-0.7,0.523
-1.9,-0.6,0.523
-1.9,-0.5,0.523
-1.9,-0.4,0.523
-1.9,-0.3,0.523
-1.9,-0.2,0.523
-1.9,-0.1,0.523
-1.9,0,0.523
-1.9,0.1,0.523
-1.9,0.2,0.523
-1.9,0.3,0.523
-1.9,0.4,0.522
-1.9,0.5,0.522
-1.9,0.6,0.522
-1.9,0.7,0.522
-1.9,0.8,0.521
-1.9,0.9,0.521
-1.9,1,0.52
-1.9,1.1,0.52
-1.9,1.2,0.519
-1.9,1.3,0.517
-1.9,1.4,0.514
-1.9,1.5,0.504
-1.9,1.6,0.476
-1.9,1.7,0.447
-1.9,1.8,0.422
-1.9,1.9,0.399
-1.9,2,0.379
-1.8,-2,0.552
-1.8,-1.9,0.552
-1.8,-1.8,0.553
-1.8,-1.7,0.553
-1.8,-1.6,0.553
-1.8,-1.5,0.553
-1.8,-1.4,0.553
-1.8,-1.3,0.553
-1.8,-1.2,0.553
-1.8,-1.1,0.553
-1.8,-1,0.553
-1.8,-0.9,0.553
-1.8,-0.8,0.553
-1.8,-0.7,0.552
-1.8,-0.6,0.552
-1.8,-0.5,0.552
-1.8,-0.4,0.552
-1.8,-0.3,0.552
-1.8,-0.2,0.552
-1.8,-0.1,0.552
-1.8,0,0.552
-1.8,0.1,0.552
-1.8,0.2,0.552
-1.8,0.3,0.552
-1.8,0.4,0.551
-1.8,0.5,0.551
-1.8,0.6,0.551
-1.8,0.7,0.551
-1.8,0.8,0.55
-1.8,0.9,0.55
-1.8,1,0.549
-1.8,1.1,0.548
-1.8,1.2,0.547
-1.8,1.3,0.544
-1.8,1.4,0.536
-1.8,1.5,0.508
-1.8,1.6,0.476
-1.8,1.7,0.447
-1.8,1.8,0.422
-1.8,1.9,0.404
-1.8,2,0.382
-1.7,-2,0.585
-1.7,-1.9,0.585
-1.7,-1.8,0.585
-1.7,-1.7,0.585
-1.7,-1.6,0.585
-1.7,-1.5,0.585
-1.7,-1.4,0.585
-1.7,-1.3,0.585
-1.7,-1.2,0.585
-1.7,-1.1,0.585
-1.7,-1,0.585
-1.7,-0.9,0.585
-1.7,-0.8,0.585
-1.7,-0.7,0.585
-1.7,-0.6,0.585
-1.7,-0.5,0.585
-1.7,-0.4,0.585
-1.7,-0.3,0.585
-1.7,-0.2,0.585
-1.7,-0.1,0.585
-1.7,0,0.585
-1.7,0.1,0.584
-1.7,0.2,0.584
-1.7,0.3,0.584
-1.7,0.4,0.584
-1.7,0.5,0.584
-1.7,0.6,0.583
-1.7,0.7,0.583
-1.7,0.8,0.583
-1.7,0.9,0.582
-1.7,1,0.581
-1.7,1.1,0.58
-1.7,1.2,0.577
-1.7,1.3,0.571
-1.7,1.4,0.545
-1.7,1.5,0.508
-1.7,1.6,0.476
-1.7,1.7,0.448
-1.7,1.8,0.427
-1.7,1.9,0.399
-1.7,2,0.378
-1.6,-2,0.622
-1.6,-1.9,0.622
-1.6,-1.8,0.622
-1.6,-1.7,0.622
-1.6,-1.6,0.621
-1.6,-1.5,0.622
-1.6,-1.4,0.622
-1.6,-1.3,0.622
-1.6,-1.2,0.622
-1.6,-1.1,0.622
-1.6,-1,0.622
-1.6,-0.9,0.622
-1.6,-0.8,0.622
-1.6,-0.7,0.622
-1.6,-0.6,0.622
-1.6,-0.5,0.622
-1.6,-0.4,0.622
-1.6,-0.3,0.622
-1.6,-0.2,0.621
-1.6,-0.1,0.621
-1.6,0,0.621
-1.6,0.1,0.621
-1.6,0.2,0.621
-1.6,0.3,0.621
-1.6,0.4,0.62
-1.6,0.5,0.62
-1.6,0.6,0.62
-1.6,0.7,0.619
-1.6,0.8,0.619
-1.6,0.9,0.618
-1.6,1,0.617
-1.6,1.1,0.615
-1.6,1.2,0.609
-1.6,1.3,0.587
-1.6,1.4,0.545
-1.6,1.5,0.509
-1.6,1.6,0.486
-1.6,1.7,0.452
-1.6,1.8,0.422
-1.6,1.9,0.399
-1.6,2,0.378
-1.5,-2,0.663
-1.5,-1.9,0.663
-1.5,-1.8,0.663
-1.5,-1.7,0.663
-1.5,-1.6,0.663
-1.5,-1.5,0.663
-1.5,-1.4,0.663
-1.5,-1.3,0.663
-1.5,-1.2,0.663
-1.5,-1.1,0.663
-1.5,-1,0.663
-1.5,-0.9,0.663
-1.5,-0.8,0.663
-1.5,-0.7,0.663
-1.5,-0.6,0.663
-1.5,-0.5,0.663
-1.5,-0.4,0.663
-1.5,-0.3,0.663
-1.5,-0.2,0.663
-1.5,-0.1,0.663
-1.5,0,0.663
-1.5,0.1,0.663
-1.5,0.2,0.662
-1.5,0.3,0.662
-1.5,0.4,0.662
-1.5,0.5,0.662
-1.5,0.6,0.661
-1.5,0.7,0.661
-1.5,0.8,0.66
-1.5,0.9,0.659
-1.5,1,0.657
-1.5,1.1,0.653
-1.5,1.2,0.634
-1.5,1.3,0.588
-1.5,1.4,0.546
-1.5,1.5,0.518
-1.5,1.6,0.48
-1.5,1.7,0.447
-1.5,1.8,0.422
-1.5,1.9,0.399
-1.5,2,0.378
-1.4,-2,0.71
-1.4,-1.9,0.711
-1.4,-1.8,0.711
-1.4,-1.7,0.711
-1.4,-1.6,0.711
-1.4,-1.5,0.711
-1.4,-1.4,0.711
-1.4,-1.3,0.711
-1.4,-1.2,0.711
-1.4,-1.1,0.711
-1.4,-1,0.711
-1.4,-0.9,0.711
-1.4,-0.8,0.711
-1.4,-0.7,0.711
-1.4,-0.6,0.711
-1.4,-0.5,0.711
-1.4,-0.4,0.711
-1.4,-0.3,0.711
-1.4,-0.2,0.71
-1.4,-0.1,0.71
-1.4,0,0.71
-1.4,0.1,0.71
-1.4,0.2,0.71
-1.4,0.3,0.71
-1.4,0.4,0.709
-1.4,0.5,0.709
-1.4,0.6,0.708
-1.4,0.7,0.708
-1.4,0.8,0.707
-1.4,0.9,0.705
-1.4,1,0.701
-1.4,1.1,0.688
-1.4,1.2,0.638
-1.4,1.3,0.589
-1.4,1.4,0.554
-1.4,1.5,0.509
-1.4,1.6,0.476
-1.4,1.7,0.447
-1.4,1.8,0.422
-1.4,1.9,0.399
-1.4,2,0.378
-1.3,-2,0.765
-1.3,-1.9,0.765
-1.3,-1.8,0.765
-1.3,-1.7,0.765
-1.3,-1.6,0.765
-1.3,-1.5,0.766
-1.3,-1.4,0.766
-1.3,-1.3,0.765
-1.3,-1.2,0.766
-1.3,-1.1,0.766
-1.3,-1,0.766
-1.3,-0.9,0.766
-1.3,-0.8,0.766
-1.3,-0.7,0.766
-1.3,-0.6,0.766
-1.3,-0.5,0.766
-1.3,-0.4,0.765
-1.3,-0.3,0.765
-1.3,-0.2,0.765
-1.3,-0.1,0.765
-1.3,0,0.765
-1.3,0.1,0.765
-1.3,0.2,0.765
-1.3,0.3,0.764
-1.3,0.4,0.764
-1.3,0.5,0.763
-1.3,0.6,0.763
-1.3,0.7,0.762
-1.3,0.8,0.76
-1.3,0.9,0.757
-1.3,1,0.747
-1.3,1.1,0.697
-1.3,1.2,0.64
-1.3,1.3,0.595
-1.3,1.4,0.546
-1.3,1.5,0.509
-1.3,1.6,0.476
-1.3,1.7,0.447
-1.3,1.8,0.764
-1.3,1.9,0.765
-1.3,2,0.378
-1.2,-2,0.829
-1.2,-1.9,0.829
-1.2,-1.8,0.829
-1.2,-1.7,0.829
-1.2,-1.6,0.829
-1.2,-1.5,0.829
-1.2,-1.4,0.829
-1.2,-1.3,0.83
-1.2,-1.2,0.829
-1.2,-1.1,0.829
-1.2,-1,0.83
-1.2,-0.9,0.83
-1.2,-0.8,0.83
-1.2,-0.7,0.83
-1.2,-0.6,0.829
-1.2,-0.5,0.829
-1.2,-0.4,0.829
-1.2,-0.3,0.829
-1.2,-0.2,0.829
-1.2,-0.1,0.829
-1.2,0,0.829
-1.2,0.1,0.829
-1.2,0.2,0.828
-1.2,0.3,0.828
-1.2,0.4,0.828
-1.2,0.5,0.827
-1.2,0.6,0.826
-1.2,0.7,0.825
-1.2,0.8,0.822
-1.2,0.9,0.815
-1.2,1,0.767
-1.2,1.1,0.7
-1.2,1.2,0.644
-1.2,1.3,0.589
-1.2,1.4,0.546
-1.2,1.5,0.509
-1.2,1.6,0.476
-1.2,1.7,0.447
-1.2,1.8,0.829
-1.2,1.9,0.829
-1.2,2,0.378
-1.1,-2,0.903
-1.1,-1.9,0.904
-1.1,-1.8,0.904
-1.1,-1.7,0.904
-1.1,-1.6,0.905
-1.1,-1.5,0.905
-1.1,-1.4,0.905
-1.1,-1.3,0.905
-1.1,-1.2,0.905
-1.1,-1.1,0.905
-1.1,-1,0.904
-1.1,-0.9,0.905
-1.1,-0.8,0.905
-1.1,-0.7,0.905
-1.1,-0.6,0.905
-1.1,-0.5,0.905
-1.1,-0.4,0.905
-1.1,-0.3,0.905
-1.1,-0.2,0.905
-1.1,-0.1,0.905
-1.1,0,0.904
-1.1,0.1,0.904
-1.1,0.2,0.904
-1.1,0.3,0.903
-1.1,0.4,0.903
-1.1,0.5,0.902
-1.1,0.6,0.901
-1.1,0.7,0.899
-1.1,0.8,0.893
-1.1,0.9,0.852
-1.1,1,0.79
-1.1,1.1,0.702
-1.1,1.2,0.639
-1.1,1.3,0.589
-1.1,1.4,0.546
-1.1,1.5,0.509
-1.1,1.6,0.476
-1.1,1.7,0.447
-1.1,1.8,0.904
-1.1,1.9,0.905
-1.1,2,0.378
-1,-2,0.993
-1,-1.9,0.994
-1,-1.8,0.994
-1,-1.7,0.995
-1,-1.6,0.995
-1,-1.5,0.995
-1,-1.4,0.995
-1,-1.3,0.996
-1,-1.2,0.996
-1,-1.1,0.996
-1,-1,0.996
-1,-0.9,0.995
-1,-0.8,0.996
-1,-0.7,0.996
-1,-0.6,0.996
-1,-0.5,0.996
-1,-0.4,0.996
-1,-0.3,0.996
-1,-0.2,0.995
-1,-0.1,0.995
-1,0,0.995
-1,0.1,0.995
-1,0.2,0.994
-1,0.3,0.994
-1,0.4,0.993
-1,0.5,0.992
-1,0.6,0.99
-1,0.7,0.986
-1,0.8,0.956
-1,0.9,0.87
-1,1,0.77
-1,1.1,0.699
-1,1.2,0.639
-1,1.3,0.589
-1,1.4,0.546
-1,1.5,0.508
-1,1.6,0.476
-1,1.7,0.447
-1,1.8,0.995
-1,1.9,0.995
-1,2,0.378
-0.9,-2,1.099
-0.9,-1.9,1.102
-0.9,-1.8,1.103
-0.9,-1.7,1.104
-0.9,-1.6,1.105
-0.9,-1.5,1.106
-0.9,-1.4,1.106
-0.9,-1.3,1.106
-0.9,-1.2,1.106
-0.9,-1.1,1.106
-0.9,-1,1.107
-0.9,-0.9,1.107
-0.9,-0.8,1.106
-0.9,-0.7,1.106
-0.9,-0.6,1.107
-0.9,-0.5,1.107
-0.9,-0.4,1.107
-0.9,-0.3,1.106
-0.9,-0.2,1.106
-0.9,-0.1,1.106
-0.9,0,1.106
-0.9,0.1,1.105
-0.9,0.2,1.105
-0.9,0.3,1.104
-0.9,0.4,1.103
-0.9,0.5,1.102
-0.9,0.6,1.098
-0.9,0.7,1.082
-0.9,0.8,0.969
-0.9,0.9,0.858
-0.9,1,0.77
-0.9,1.1,0.699
-0.9,1.2,0.639
-0.9,1.3,0.589
-0.9,1.4,0.546
-0.9,1.5,1.106
-0.9,1.6,0.476
-0.9,1.7,0.447
-0.9,1.8,1.106
-0.9,1.9,0.399
-0.9,2,0.378
-0.8,-2,1.161
-0.8,-1.9,1.217
-0.8,-1.8,1.235
-0.8,-1.7,1.239
-0.8,-1.6,1.241
-0.8,-1.5,1.243
-0.8,-1.4,1.244
-0.8,-1.3,1.244
-0.8,-1.2,1.244
-0.8,-1.1,1.245
-0.8,-1,1.245
-0.8,-0.9,1.245
-0.8,-0.8,1.245
-0.8,-0.7,1.245
-0.8,-0.6,1.245
-0.8,-0.5,1.245
-0.8,-0.4,1.245
-0.8,-0.3,1.245
-0.8,-0.2,1.245
-0.8,-0.1,1.245
-0.8,0,1.244
-0.8,0.1,1.244
-0.8,0.2,1.243
-0.8,0.3,1.242
-0.8,0.4,1.241
-0.8,0.5,1.238
-0.8,0.6,1.227
-0.8,0.7,1.105
-0.8,0.8,0.966
-0.8,0.9,0.856
-0.8,1,0.77
-0.8,1.1,0.699
-0.8,1.2,0.639
-0.8,1.3,0.589
-0.8,1.4,0.546
-0.8,1.5,0.509
-0.8,1.6,0.477
-0.8,1.7,0.448
-0.8,1.8,1.243
-0.8,1.9,0.399
-0.8,2,1.243
-0.7,-2,1.163
-0.7,-1.9,1.224
-0.7,-1.8,1.292
-0.7,-1.7,1.367
-0.7,-1.6,1.41
-0.7,-1.5,1.416
-0.7,-1.4,1.419
-0.7,-1.3,1.42
-0.7,-1.2,1.421
-0.7,-1.1,1.422
-0.7,-1,1.423
-0.7,-0.9,1.423
-0.7,-0.8,1.423
-0.7,-0.7,1.423
-0.7,-0.6,1.423
-0.7,-0.5,1.423
-0.7,-0.4,1.423
-0.7,-0.3,1.423
-0.7,-0.2,1.423
-0.7,-0.1,1.423
-0.7,0,1.423
-0.7,0.1,1.422
-0.7,0.2,1.421
-0.7,0.3,1.42
-0.7,0.4,1.417
-0.7,0.5,1.41
-0.7,0.6,1.29
-0.7,0.7,1.105
-0.7,0.8,0.966
-0.7,0.9,0.857
-0.7,1,0.769
-0.7,1.1,0.699
-0.7,1.2,0.641
-0.7,1.3,1.422
-0.7,1.4,0.547
-0.7,1.5,0.51
-0.7,1.6,0.477
-0.7,1.7,0.448
-0.7,1.8,0.422
-0.7,1.9,1.421
-0.7,2,0.378
-0.6,-2,1.163
-0.6,-1.9,1.225
-0.6,-1.8,1.293
-0.6,-1.7,1.37
-0.6,-1.6,1.456
-0.6,-1.5,1.553
-0.6,-1.4,1.639
-0.6,-1.3,1.653
-0.6,-1.2,1.656
-0.6,-1.1,1.658
-0.6,-1,1.659
-0.6,-0.9,1.66
-0.6,-0.8,1.661
-0.6,-0.7,1.661
-0.6,-0.6,1.661
-0.6,-0.5,1.661
-0.6,-0.4,1.661
-0.6,-0.3,1.661
-0.6,-0.2,1.661
-0.6,-0.1,1.661
-0.6,0,1.66
-0.6,0.1,1.659
-0.6,0.2,1.658
-0.6,0.3,1.656
-0.6,0.4,1.65
-0.6,0.5,1.547
-0.6,0.6,1.292
-0.6,0.7,1.106
-0.6,0.8,0.966
-0.6,0.9,0.857
-0.6,1,0.77
-0.6,1.1,0.699
-0.6,1.2,0.641
-0.6,1.3,0.59
-0.6,1.4,0.547
-0.6,1.5,0.509
-0.6,1.6,0.476
-0.6,1.7,0.447
-0.6,1.8,1.658
-0.6,1.9,1.658
-0.6,2,1.657
-0.5,1.2,0.64
-0.5,1.4,0.546
-0.4,-1.4,1.668
-0.4,-1.2,1.947
-0.4,1.2,0.639
-0.3,-1.5,1.556
-0.3,-1.2,1.948
-0.3,1.2,0.639
-0.2,-1.9,1.225
-0.2,-1.5,1.556
-0.2,1.9,0.398